n_cap,stime,etime,content
27,"00:00:24,899","00:00:24,966",懒蛤想吃天鹅肉
27,"00:00:24,899","00:00:25,000",懒蛤想吃天鹅肉
27,"00:00:24,899","00:00:25,033",懒蛤蟆想吃天鹅肉
27,"00:00:24,899","00:00:25,066",懒蛤蟆想吃天鹅肉
28,"00:00:25,233","00:00:25,066",你竟然敢骂我是獭蛤蟆
28,"00:00:25,233","00:00:25,266",你竟然敢骂我是懒蛤蟆
28,"00:00:25,233","00:00:25,300",你竟然敢骂我是懒蛤蟆
28,"00:00:25,233","00:00:25,333",你竟然敢骂我是懒蛤蟆
29,"00:00:25,366","00:00:25,333",你竟然敢驾我是懒蛤蟆
29,"00:00:25,366","00:00:25,399",你竟然敢驾我是懒蛤蟆
29,"00:00:25,366","00:00:25,433",你竟然敢驾我是懒蛤蟆
29,"00:00:25,366","00:00:25,466",你竟然敢驾我是懒蛤蟆
